DX_CLASS,ICD9_CD_NODOT,ICD9_CD,ICD10_CD_NODOT,ICD10_CD,ICD9_LDESC,ICD10_LDESC,LIST,sort
Self-Inflicted Injury,E9504,E95.04,T426X2A,T42.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T4272XA,T42.72XA,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T428X2A,T42.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T440X2A,T44.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by anticholinesterase agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T441X2A,T44.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T442X2A,T44.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T443X2A,T44.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T444X2A,T44.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T445X2A,T44.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T446X2A,T44.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T447X2A,T44.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T448X2A,T44.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T44902A,T44.902A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T44992A,T44.992A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T450X2A,T45.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T451X2A,T45.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T452X2A,T45.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by vitamins, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T453X2A,T45.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by enzymes, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T454X2A,T45.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by iron and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45512A,T45.512A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by anticoagulants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45522A,T45.522A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45602A,T45.602A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45612A,T45.612A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by thrombolytic drug, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45622A,T45.622A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by hemostatic drug, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T45692A,T45.692A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T457X2A,T45.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T458X2A,T45.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other primarily systemic and hematological agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T4592XA,T45.92XA,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T460X2A,T46.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T461X2A,T46.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by calcium-channel blockers, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T462X2A,T46.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T463X2A,T46.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by coronary vasodilators, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T464X2A,T46.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T465X2A,T46.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T466X2A,T46.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T467X2A,T46.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by peripheral vasodilators, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T468X2A,T46.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T46902A,T46.902A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T46992A,T46.992A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T470X2A,T47.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T471X2A,T47.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T472X2A,T47.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by stimulant laxatives, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T473X2A,T47.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T474X2A,T47.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other laxatives, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T475X2A,T47.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by digestants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T476X2A,T47.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T477X2A,T47.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by emetics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T478X2A,T47.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T4792XA,T47.92XA,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T480X2A,T48.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by oxytocic drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T481X2A,T48.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T48202A,T48.202A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T48292A,T48.292A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T483X2A,T48.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antitussives, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T484X2A,T48.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by expectorants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T485X2A,T48.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T486X2A,T48.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antiasthmatics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T48902A,T48.902A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T48992A,T48.992A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T490X2A,T49.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T491X2A,T49.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antipruritics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T492X2A,T49.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T493X2A,T49.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T494X2A,T49.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T495X2A,T49.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T496X2A,T49.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T497X2A,T49.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T498X2A,T49.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other topical agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T4992XA,T49.92XA,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified topical agent, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T500X2A,T50.0X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T501X2A,T50.1X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T502X2A,T50.2X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T503X2A,T50.3X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T504X2A,T50.4X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T505X2A,T50.5X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by appetite depressants, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T506X2A,T50.6X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T507X2A,T50.7X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T508X2A,T50.8X2A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by diagnostic agents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50902A,T50.902A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50992A,T50.992A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50A12A,T50.A12A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50A22A,T50.A22A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50A92A,T50.A92A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other bacterial vaccines, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50B12A,T50.B12A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by smallpox vaccines, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50B92A,T50.B92A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other viral vaccines, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50Z12A,T50.Z12A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by immunoglobulin, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9504,E95.04,T50Z92A,T50.Z92A,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances,"Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9505,E95.05,NoDx,NoD.x,Suicide and self-inflicted poisoning by unspecified drug or medicinal substance, ,9,1
Self-Inflicted Injury,E9506,E95.06,NoDx,NoD.x,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, ,9,1
Self-Inflicted Injury,E9506,E95.06,T600X2A,T60.0X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T601X2A,T60.1X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of halogenated insecticides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T602X2A,T60.2X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of other insecticides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T603X2A,T60.3X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of herbicides and fungicides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T604X2A,T60.4X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of rodenticides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T608X2A,T60.8X2A,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of other pesticides, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9506,E95.06,T6092XA,T60.92XA,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,"Toxic effect of unspecified pesticide, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,NoDx,NoD.x,Suicide and self-inflicted poisoning by corrosive and caustic substances, ,9,1
Self-Inflicted Injury,E9507,E95.07,T540X2A,T54.0X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T541X2A,T54.1X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T542X2A,T54.2X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T543X2A,T54.3X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T5492XA,T54.92XA,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T550X2A,T55.0X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of soaps, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T551X2A,T55.1X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of detergents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T571X2A,T57.1X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9507,E95.07,T572X2A,T57.2X2A,Suicide and self-inflicted poisoning by corrosive and caustic substances,"Toxic effect of manganese and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9508,E95.08,NoDx,NoD.x,Suicide and self-inflicted poisoning by arsenic and its compounds, ,9,1
Self-Inflicted Injury,E9508,E95.08,T570X2A,T57.0X2A,Suicide and self-inflicted poisoning by arsenic and its compounds,"Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,NoDx,NoD.x,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances, ,9,1
Self-Inflicted Injury,E9509,E95.09,T510X2A,T51.0X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of ethanol, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T511X2A,T51.1X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of methanol, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T512X2A,T51.2X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of 2-Propanol, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T513X2A,T51.3X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of fusel oil, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T518X2A,T51.8X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of other alcohols, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T5192XA,T51.92XA,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of unspecified alcohol, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T520X2A,T52.0X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of petroleum products, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T521X2A,T52.1X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of benzene, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T522X2A,T52.2X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of homologues of benzene, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T523X2A,T52.3X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of glycols, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T524X2A,T52.4X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of ketones, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T528X2A,T52.8X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of other organic solvents, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T5292XA,T52.92XA,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T530X2A,T53.0X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T531X2A,T53.1X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of chloroform, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T532X2A,T53.2X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of trichloroethylene, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T533X2A,T53.3X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of tetrachloroethylene, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T534X2A,T53.4X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of dichloromethane, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T536X2A,T53.6X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T537X2A,T53.7X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T5392XA,T53.92XA,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T560X2A,T56.0X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of lead and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T561X2A,T56.1X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of mercury and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T562X2A,T56.2X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of chromium and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T563X2A,T56.3X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter",10,1
Self-Inflicted Injury,E9509,E95.09,T564X2A,T56.4X2A,Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances,"Toxic effect of copper and its compounds, intentional self-harm, initial encounter",10,1
